"""siteid""","""sitename""","""aqi""","""pm2.5_avg""","""pm10_avg""","""so2_avg""","""datacreationdate"""
50,鳳山,42.71,13.17,22.58,0.92,2023-03-23
50,鳳山,80.12,27.25,41.5,0.79,2023-03-24
50,鳳山,95.35,33.35,61.88,2.0,2023-03-25
50,鳳山,61.92,19.88,36.88,1.29,2023-03-26
50,鳳山,78.58,26.75,48.08,1.08,2023-03-27
50,鳳山,94.21,32.88,61.38,2.0,2023-03-28
50,鳳山,100.88,35.5,57.62,2.0,2023-03-29
50,鳳山,84.17,28.79,47.46,2.0,2023-03-30
50,鳳山,81.12,27.58,46.08,2.0,2023-03-31
51,大寮,105.04,37.29,60.12,1.58,2023-01-01
51,大寮,83.75,28.67,44.0,1.0,2023-01-02
51,大寮,105.08,37.08,52.46,1.0,2023-01-03
51,大寮,72.79,24.25,41.92,1.0,2023-01-04
51,大寮,110.42,39.17,68.75,1.33,2023-01-05
51,大寮,109.83,39.0,64.29,1.58,2023-01-06
51,大寮,106.79,37.83,61.71,1.88,2023-01-07
51,大寮,121.42,43.29,71.5,2.29,2023-01-08
51,大寮,139.17,50.75,85.17,1.33,2023-01-09
51,大寮,138.75,52.83,86.62,1.0,2023-01-10
51,大寮,127.96,45.96,71.96,1.0,2023-01-11
51,大寮,124.12,44.5,76.79,1.29,2023-01-12
51,大寮,98.88,32.38,68.25,1.12,2023-01-13
51,大寮,44.17,13.33,34.0,0.42,2023-01-14
51,大寮,60.29,19.67,35.92,1.0,2023-01-15
51,大寮,59.5,19.17,44.88,1.75,2023-01-16
51,大寮,80.96,27.75,50.12,2.04,2023-01-17
51,大寮,81.79,27.96,48.79,1.21,2023-01-18
51,大寮,112.46,40.04,69.33,1.46,2023-01-19
51,大寮,112.29,39.96,68.33,1.21,2023-01-20
51,大寮,96.29,33.46,60.17,1.33,2023-01-21
51,大寮,98.38,34.42,55.0,2.54,2023-01-22
51,大寮,63.38,20.5,36.25,1.79,2023-01-23
51,大寮,63.12,16.79,51.75,1.0,2023-01-24
51,大寮,67.62,22.25,47.67,1.0,2023-01-25
51,大寮,60.58,19.33,34.92,1.62,2023-01-26
51,大寮,71.21,23.54,49.0,1.42,2023-01-27
51,大寮,78.96,26.83,55.08,1.0,2023-01-28
51,大寮,79.83,27.17,50.46,1.0,2023-01-29
51,大寮,108.96,38.58,66.12,2.12,2023-01-30
51,大寮,84.79,29.08,54.83,3.5,2023-01-31
51,大寮,71.46,23.5,54.21,6.96,2023-02-01
51,大寮,94.5,32.96,67.33,5.29,2023-02-02
51,大寮,108.29,38.38,85.5,2.62,2023-02-03
51,大寮,112.62,40.08,78.17,1.54,2023-02-04
51,大寮,116.88,41.71,67.96,1.92,2023-02-05
51,大寮,91.79,31.96,53.5,2.0,2023-02-06
51,大寮,93.0,32.29,55.46,2.79,2023-02-07
51,大寮,124.12,45.33,72.29,3.71,2023-02-08
51,大寮,110.0,38.92,64.29,2.17,2023-02-09
51,大寮,90.17,31.17,50.71,1.0,2023-02-10
51,大寮,92.83,32.33,50.38,1.54,2023-02-11
51,大寮,73.04,22.96,51.71,1.75,2023-02-12
51,大寮,37.0,11.29,27.42,1.38,2023-02-13
51,大寮,77.5,26.38,48.0,1.42,2023-02-14
51,大寮,77.5,26.21,50.12,1.0,2023-02-15
51,大寮,71.58,23.96,52.75,1.42,2023-02-16
51,大寮,74.88,24.88,58.17,1.0,2023-02-17
51,大寮,92.04,32.17,60.33,4.25,2023-02-18
51,大寮,89.25,31.04,55.79,3.58,2023-02-19
51,大寮,141.38,51.75,91.92,1.88,2023-02-20
51,大寮,87.88,30.17,77.42,2.62,2023-02-21
51,大寮,65.75,21.46,55.08,1.92,2023-02-22
51,大寮,91.17,31.71,58.21,1.0,2023-02-23
51,大寮,111.83,39.67,65.21,1.0,2023-02-24
51,大寮,75.62,25.54,47.21,1.0,2023-02-25
51,大寮,71.92,24.08,47.38,1.0,2023-02-26
51,大寮,65.71,21.0,46.5,1.29,2023-02-27
51,大寮,86.0,29.54,56.62,1.17,2023-02-28
51,大寮,90.12,31.08,56.67,1.0,2023-03-01
51,大寮,99.83,35.04,60.96,1.42,2023-03-02
51,大寮,93.67,32.75,70.33,2.0,2023-03-03
51,大寮,87.54,30.17,55.17,1.71,2023-03-04
51,大寮,112.58,36.5,61.0,1.75,2023-03-05
51,大寮,83.54,28.29,53.92,2.0,2023-03-06
51,大寮,78.38,25.12,48.12,1.5,2023-03-07
51,大寮,67.33,21.17,45.0,1.0,2023-03-08
51,大寮,91.58,30.12,59.46,1.62,2023-03-09
51,大寮,121.92,43.54,72.54,1.71,2023-03-10
51,大寮,100.0,35.12,56.96,1.54,2023-03-11
51,大寮,80.96,27.5,43.96,1.21,2023-03-12
51,大寮,72.25,24.08,59.79,2.12,2023-03-13
51,大寮,67.58,21.92,51.62,2.5,2023-03-14
51,大寮,80.58,25.54,50.17,2.08,2023-03-15
51,大寮,89.92,30.21,58.25,2.42,2023-03-16
51,大寮,91.38,31.92,66.0,2.54,2023-03-17
51,大寮,79.46,26.96,50.96,1.92,2023-03-18
51,大寮,97.62,33.79,60.38,2.58,2023-03-19
51,大寮,69.0,22.83,50.58,2.42,2023-03-20
51,大寮,68.12,22.42,45.75,2.08,2023-03-21
51,大寮,56.54,18.17,39.21,1.92,2023-03-22
51,大寮,52.08,16.21,31.67,1.75,2023-03-23
51,大寮,83.54,28.54,45.12,2.0,2023-03-24
51,大寮,96.65,33.76,60.88,2.53,2023-03-25
51,大寮,65.25,21.33,37.92,2.54,2023-03-26
51,大寮,86.79,29.92,50.96,1.92,2023-03-27
51,大寮,103.38,35.42,64.79,1.5,2023-03-28
51,大寮,106.46,37.71,59.83,1.58,2023-03-29
51,大寮,86.96,30.0,50.42,2.0,2023-03-30
51,大寮,82.33,28.17,50.04,2.0,2023-03-31
52,林園,98.08,34.38,68.71,2.0,2023-01-01
52,林園,77.75,26.29,50.21,1.42,2023-01-02
52,林園,95.62,33.42,62.46,1.0,2023-01-03
52,林園,63.12,20.42,45.67,1.0,2023-01-04
52,林園,88.62,30.62,65.08,1.5,2023-01-05
52,林園,98.0,34.29,73.67,1.29,2023-01-06
52,林園,88.04,29.96,64.75,2.0,2023-01-07
52,林園,90.79,29.08,61.58,1.17,2023-01-08
52,林園,112.71,39.96,80.79,1.0,2023-01-09
52,林園,119.88,42.88,93.04,1.38,2023-01-10
52,林園,106.5,37.58,76.04,1.83,2023-01-11
52,林園,94.17,32.92,73.29,1.0,2023-01-12
52,林園,85.42,29.54,63.29,0.88,2023-01-13
52,林園,37.0,11.29,28.71,0.0,2023-01-14
52,林園,51.88,16.38,40.54,0.17,2023-01-15
52,林園,54.33,16.96,47.0,1.29,2023-01-16
52,林園,74.75,25.08,55.38,2.0,2023-01-17
52,林園,78.71,26.71,61.38,2.0,2023-01-18
52,林園,107.12,37.92,77.75,2.0,2023-01-19
